(20.947152425111117, 12.793540586036638)
(55.81288933537724, 71.75449424721684)
(69.13797543658458, 86.76782515768365)
(7.345351858165324E-7, 1.001714835099116)
(16.743866006022905, 25.927719867382578)
(43.19363853237395, 31.04926505436079)
(14.493671352268713, 23.107782292429413)
(73.21328635070441, 91.32623891310047)
(63.34588350143829, 80.2639089444935)
(1.5836324056723847, 0.06678325987728186)
(1.7775999702060974, 5.444133277859386)
(18.32892026399841, 10.766462611198389)
(18.16261732029604, 10.639092856719708)
(0.8032710563366117, 3.5957788597635445)
(38.962818175057336, 27.4787774549928)
(35.67753629919924, 48.62367145651254)
(59.18275366029546, 75.56881926009002)
(5.197872912064116, 10.757641727284517)
(0.32803261062211425, 2.4735152348851175)
(34.79398037817596, 47.5912648755806)
